Año,Clave_Ent,Entidad,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Sexo,Rango de edad,Mes,Numero Victimas,FechaHecho,MesNum,Codigo_Estado_JSON
2015,1,Aguascalientes,La sociedad,Trata de personas,Trata de personas,Trata de personas,Mujer,Menores de edad (0-17),Enero,0,2015-01-01,1,MXAGU
2015,1,Aguascalientes,La sociedad,Trata de personas,Trata de personas,Trata de personas,Mujer,Adultos (18 y más),Enero,0,2015-01-01,1,MXAGU
2015,1,Aguascalientes,La sociedad,Trata de personas,Trata de personas,Trata de personas,Mujer,No especificado,Enero,0,2015-01-01,1,MXAGU
2015,1,Aguascalientes,La sociedad,Trata de personas,Trata de personas,Trata de personas,Hombre,Menores de edad (0-17),Enero,0,2015-01-01,1,MXAGU
2015,1,Aguascalientes,La sociedad,Trata de personas,Trata de personas,Trata de personas,Hombre,Adultos (18 y más),Enero,0,2015-01-01,1,MXAGU
2015,1,Aguascalientes,La sociedad,Trata de personas,Trata de personas,Trata de personas,Hombre,No especificado,Enero,0,2015-01-01,1,MXAGU
2015,2,Baja California,La sociedad,Trata de personas,Trata de personas,Trata de personas,Mujer,Menores de edad (0-17),Enero,0,2015-01-01,1,MXBAJ
2015,2,Baja California,La sociedad,Trata de personas,Trata de personas,Trata de personas,Mujer,Adultos (18 y más),Enero,1,2015-01-01,1,MXBAJ
2015,2,Baja California,La sociedad,Trata de personas,Trata de personas,Trata de personas,Mujer,No especificado,Enero,0,2015-01-01,1,MXBAJ
2015,2,Baja California,La sociedad,Trata de personas,Trata de personas,Trata de personas,Hombre,Menores de edad (0-17),Enero,0,2015-01-01,1,MXBAJ
2015,2,Baja California,La sociedad,Trata de personas,Trata de personas,Trata de personas,Hombre,Adultos (18 y más),Enero,1,2015-01-01,1,MXBAJ
2015,2,Baja California,La sociedad,Trata de personas,Trata de personas,Trata de personas,Hombre,No especificado,Enero,0,2015-01-01,1,MXBAJ
2015,3,Baja California Sur,La sociedad,Trata de personas,Trata de personas,Trata de personas,Mujer,Menores de edad (0-17),Enero,0,2015-01-01,1,MXBAJ
2015,3,Baja California Sur,La sociedad,Trata de personas,Trata de personas,Trata de personas,Mujer,Adultos (18 y más),Enero,0,2015-01-01,1,MXBAJ
