FechaHecho,Total_Victimas
2015-01-01,123
2015-02-01,71
2015-03-01,111
2015-04-01,72
2015-05-01,61
2015-06-01,46
2015-07-01,37
2015-08-01,305
2015-09-01,16
2015-10-01,129
2015-11-01,56
2015-12-01,34
2016-01-01,31
2016-02-01,148
2016-03-01,55
2016-04-01,95
2016-05-01,29
2016-06-01,61
2016-07-01,40
2016-08-01,34
2016-09-01,31
2016-10-01,85
2016-11-01,21
2016-12-01,33
2017-01-01,32
2017-02-01,79
2017-03-01,25
2017-04-01,32
2017-05-01,40
2017-06-01,31
2017-07-01,43
2017-08-01,36
2017-09-01,57
2017-10-01,32
2017-11-01,44
2017-12-01,20
2018-01-01,25
2018-02-01,36
2018-03-01,44
2018-04-01,31
2018-05-01,28
2018-06-01,35
2018-07-01,39
2018-08-01,18
2018-09-01,69
2018-10-01,96
2018-11-01,38
2018-12-01,45
2019-01-01,35
2019-02-01,52
2019-03-01,27
2019-04-01,40
2019-05-01,31
2019-06-01,46
2019-07-01,46
2019-08-01,64
2019-09-01,51
2019-10-01,58
2019-11-01,32
2019-12-01,41
2020-01-01,32
2020-02-01,24
2020-03-01,57
2020-04-01,40
2020-05-01,31
2020-06-01,66
2020-07-01,59
2020-08-01,46
2020-09-01,63
2020-10-01,47
2020-11-01,38
2020-12-01,40
2021-01-01,23
2021-02-01,52
2021-03-01,66
2021-04-01,80
2021-05-01,80
2021-06-01,51
2021-07-01,48
2021-08-01,55
2021-09-01,55
2021-10-01,40
2021-11-01,53
2021-12-01,42
2022-01-01,42
2022-02-01,68
2022-03-01,61
2022-04-01,72
2022-05-01,88
2022-06-01,76
2022-07-01,72
2022-08-01,80
2022-09-01,66
2022-10-01,42
2022-11-01,62
2022-12-01,54
2023-01-01,89
2023-02-01,41
2023-03-01,52
2023-04-01,70
2023-05-01,65
2023-06-01,105
2023-07-01,115
2023-08-01,71
2023-09-01,44
2023-10-01,79
2023-11-01,32
2023-12-01,29
2024-01-01,42
2024-02-01,46
2024-03-01,41
2024-04-01,64
2024-05-01,94
2024-06-01,52
2024-07-01,57
2024-08-01,85
2024-09-01,77
2024-10-01,67
2024-11-01,41
2024-12-01,33
2025-01-01,51
2025-02-01,93
2025-03-01,62
2025-04-01,139
2025-05-01,92
2025-06-01,137
2025-07-01,48
2025-08-01,90
2025-09-01,85
2025-10-01,90
2025-11-01,60
2025-12-01,33
